age,income,employment_years,loan_amount,loan_term,credit_score,existing_loans,dependents,gender,education,home_ownership,loan_purpose,marital_status,interest_rate,loan_approved
70.0,77149.4,24.2,32710.9,268.7,707.5,1.5,2.2,Male,Master,Mortgage,Car,Single,3.039,1
42.6,,22.4,31521.8,185.1,,6.1,2.6,Female,Master,Own,Car,Married,2.784,1
41.4,140554.0,24.3,29399.1,212.3,456.7,3.5,2.2,Female,PhD,Own,Education,Single,6.577,0
37.7,140823.3,21.6,30902.5,344.7,542.1,4.8,3.4,Female,Bachelor,Own,Business,Married,4.808,0
54.9,94639.9,26.7,8831.5,160.7,747.9,1.3,2.0,Male,Master,Mortgage,Home,Single,2.0,1
61.0,125658.2,7.0,38214.4,184.5,569.0,2.6,3.0,Male,PhD,Own,Home,Single,3.783,0
46.1,196959.7,18.9,,110.7,600.5,1.1,0.9,Female,High School,Mortgage,Business,Single,4.624,1
37.4,119384.1,,35467.2,254.1,676.4,5.5,3.4,Female,Bachelor,Rent,Education,Divorced,4.032,0
37.6,95738.5,22.2,9231.8,138.1,464.1,3.8,1.8,Male,High School,Rent,Home,Divorced,6.209,0
55.3,113918.3,33.1,27552.5,264.8,499.4,4.9,1.4,Male,Master,Own,Business,Married,5.898,1
56.4,123226.2,16.2,20992.0,51.0,554.9,4.1,1.1,Male,Bachelor,Rent,Car,Married,5.37,0
54.0,114709.1,21.0,30077.0,226.9,692.4,4.7,1.0,Female,Master,Mortgage,Home,Single,3.554,0
39.5,118902.6,26.1,28036.6,131.5,675.8,3.5,1.9,Male,High School,Mortgage,Personal,Single,3.18,1
50.3,69479.4,3.5,28428.4,241.4,648.8,3.7,4.3,Female,PhD,Mortgage,Personal,Single,4.493,0
48.9,86307.9,15.8,17028.5,181.9,571.5,3.9,1.7,Male,PhD,Own,Home,Single,4.557,0
50.1,114773.3,22.9,25044.2,140.2,685.7,4.6,0.0,Male,Master,Rent,Personal,Married,3.194,1
58.0,114215.6,0.0,24058.7,152.1,,4.6,2.9,Female,Master,Rent,Car,Divorced,5.624,0
50.2,100183.4,12.2,29462.5,115.0,636.0,8.0,1.2,Male,Bachelor,Rent,Car,Single,4.935,1
55.6,113804.5,28.8,33414.4,250.0,666.1,6.5,3.5,Male,Bachelor,Rent,Personal,Married,3.377,1
48.3,122135.5,28.0,26703.8,99.1,736.7,1.3,2.0,Female,,Rent,Home,Married,2.934,1
51.0,151129.5,23.0,15290.6,161.6,,3.8,2.2,Male,Bachelor,Rent,Home,Single,4.698,0
55.1,116527.6,27.1,26360.6,210.6,551.4,3.4,3.9,Female,PhD,Mortgage,Business,Married,4.32,1
30.0,133968.6,21.7,46388.6,312.1,700.6,5.9,3.2,Female,Master,Rent,Business,Married,3.443,1
43.7,101044.0,24.4,38668.0,182.3,707.5,3.5,1.0,Female,Bachelor,Mortgage,Business,Divorced,3.323,1
41.9,140023.4,17.5,1704.8,163.6,535.1,4.7,1.2,Male,Master,Own,Personal,Married,4.634,1
39.8,133150.6,20.9,26006.7,204.9,484.5,0.5,0.4,Male,,Mortgage,Home,Married,5.377,1
44.2,150303.6,14.9,32957.0,17.1,693.7,1.7,5.0,Female,Bachelor,Rent,Car,Divorced,2.971,1
65.4,144971.1,30.1,24041.4,87.1,436.2,7.1,1.5,Female,PhD,Mortgage,Business,Divorced,6.963,0
37.1,140605.7,32.2,21819.3,153.0,431.6,4.1,3.9,Female,Bachelor,Mortgage,Personal,Married,7.717,0
59.1,116555.4,31.0,23364.3,126.0,559.9,2.5,1.9,Male,High School,Mortgage,Business,Married,5.075,1
27.3,128572.9,16.7,29917.5,54.9,584.2,4.4,1.2,Female,High School,Own,Education,Married,4.752,1
43.5,157222.8,12.4,16312.2,251.6,479.6,2.4,2.5,Male,Bachelor,Mortgage,Education,Divorced,6.402,0
49.5,97177.4,30.2,,203.8,595.0,3.6,2.1,Female,Master,Own,Personal,Single,5.17,1
54.5,98005.7,24.4,25052.1,194.2,599.0,1.8,3.5,Male,PhD,Mortgage,Personal,Single,4.07,1
56.0,126350.1,22.6,18019.8,127.5,531.8,2.8,3.5,Male,Bachelor,Mortgage,Personal,Divorced,5.489,1
57.0,435079.29160114145,14.9,230613.69569426758,189.4,710.753158490432,3.4,1.8,Female,Bachelor,Rent,Home,Married,2.0,1
43.3,91156.3,23.4,13139.0,224.2,613.7,5.7,0.8,Male,Master,Own,Car,Married,4.481,0
42.0,117383.3,11.3,21058.3,161.8,676.6,4.7,1.1,Female,Bachelor,Rent,Education,Single,4.06,1
57.8,116710.0,25.1,20926.6,218.6,443.9,5.0,0.0,Male,,Own,Personal,Married,7.104,0
45.2,42465.2,31.0,42651.5,119.3,443.2,4.0,2.2,Male,High School,Mortgage,Business,Married,10.14,0
32.2,112314.2,33.0,20019.8,190.8,616.4,5.2,2.5,Male,Bachelor,Mortgage,Car,Married,3.72,1
33.9,114493.9,25.7,8260.3,274.4,741.9,2.7,1.1,Female,High School,Mortgage,Personal,Single,2.136,1
36.5,114389.7,8.9,20845.5,281.6,484.1,2.9,1.0,Female,Master,Rent,Personal,Single,6.336,0
53.5,169557.0,21.6,29144.4,289.2,587.9,4.6,2.5,Female,Bachelor,Mortgage,Car,Married,5.025,1
49.2,77447.1,37.1,31772.7,205.8,463.8,3.6,1.7,Male,High School,Rent,Home,Married,7.328,1
55.8,91138.2,13.1,43712.3,185.5,510.3,4.0,2.2,Male,PhD,Mortgage,Personal,Divorced,6.539,0
42.4,28573.1,19.5,36755.2,147.1,592.4,3.8,2.1,Female,High School,Rent,Car,Single,10.333,0
49.4,103167.9,31.3,27003.4,38.4,530.7,5.9,2.8,Male,Master,Rent,Car,Divorced,6.372,1
55.0,106152.5,24.9,18368.7,75.4,457.5,6.0,1.8,Female,High School,Own,Car,Married,7.05,0
43.8,102150.8,39.8,38492.2,169.6,455.5,3.1,1.9,Male,High School,Rent,Car,Single,7.197,0
53.0,158768.7,14.1,22551.5,174.3,405.3,1.4,0.2,Female,High School,Mortgage,Home,Divorced,7.028,1
39.6,150121.6,12.1,20234.7,296.0,617.9,2.9,2.4,Male,Master,Mortgage,Home,Married,4.556,0
43.1,122725.0,29.8,22163.4,288.2,628.8,2.7,2.6,Male,High School,Mortgage,Business,Single,4.568,1
42.9,107028.5,10.4,15481.7,128.1,628.3,5.2,2.3,Male,Bachelor,Mortgage,Home,Married,3.624,1
33.1,155916.6,18.4,21779.8,248.5,493.2,5.4,4.8,Male,Master,Mortgage,Education,Single,6.01,0
53.3,119308.5,19.5,23635.1,144.8,665.5,2.5,2.7,Female,Master,Mortgage,Education,Divorced,3.012,1
41.9,91360.5,28.3,31345.3,237.6,638.6,2.9,2.3,Male,PhD,Mortgage,Personal,Single,4.237,0
47.6,59931.3,24.9,22395.3,247.5,575.7,1.8,3.1,Male,Bachelor,Rent,Car,Divorced,5.9,1
53.3,104554.0,23.7,15360.3,282.4,560.9,4.2,5.0,Male,High School,Own,Business,Single,4.719,1
52.9,,,12669.8,143.6,516.6,3.9,2.8,Female,PhD,Own,Personal,Single,5.346,0
55.5,,29.7,27176.6,264.1,592.3,5.2,0.0,Female,,Mortgage,Education,Single,3.797,0
46.3,122156.4,40.0,26081.0,33.2,720.6,4.7,3.0,Female,PhD,Mortgage,Business,Divorced,2.22,1
42.4,,25.5,21065.5,286.7,677.4,4.9,1.4,Male,PhD,Own,Car,Married,3.68,1
46.5,78526.2,20.8,21760.3,181.0,551.9,1.7,0.2,Male,Master,Mortgage,Education,Single,5.396,0
27.3,139318.4,9.6,28607.9,182.7,623.5,3.1,4.5,Male,PhD,Own,Education,Single,4.128,1
30.1,58238.4,14.9,36624.4,20.0,475.9,5.4,4.3,Male,Master,Mortgage,Home,Single,8.012,0
31.6,,18.3,19258.8,151.9,640.7,3.2,1.4,Male,Master,Mortgage,Home,Married,3.677,1
35.5,148619.9,15.7,26211.2,291.4,500.2,1.6,1.4,Male,Master,Mortgage,Business,Single,5.969,1
52.3,135269.8,19.9,33166.2,148.9,637.1,5.2,2.7,Female,Master,Rent,Home,Married,4.367,1
36.6,112311.8,34.2,19291.1,240.1,842.2,3.1,1.4,Female,Bachelor,Own,Home,Single,2.0,1
43.0,139772.9,30.0,25374.9,185.8,523.7,5.6,2.3,Female,Bachelor,Own,Home,Divorced,5.192,1
63.1,125982.8,18.7,25196.0,268.0,838.1,4.0,1.6,Male,PhD,Rent,Education,Married,2.0,1
43.2,92765.7,10.3,15009.6,198.3,619.2,3.6,2.0,Male,Bachelor,Rent,Car,Single,4.208,1
56.4,184764.4,30.7,26848.0,108.5,507.5,6.0,0.8,Female,PhD,Rent,Car,Single,5.488,0
36.3,413817.5839876874,19.6,77900.96202462447,187.5,461.40285194200845,2.0,3.5,Male,Master,Rent,Business,Divorced,6.625,0
45.0,147151.3,6.2,29940.7,311.1,787.8,6.2,3.9,Female,PhD,Rent,Business,Single,2.547,1
36.1,35348.5,25.7,16004.9,222.8,619.4,3.0,2.4,Male,Master,Mortgage,Business,Single,5.417,0
43.4,164676.5,28.2,25579.8,173.7,524.0,4.2,2.5,Female,Master,Own,Car,Single,5.461,1
57.6,171406.7,0.6,36553.9,360.0,556.7,4.3,3.3,Female,Bachelor,Own,Home,Single,5.585,0
26.8,121044.2,13.4,42120.0,275.7,613.8,3.4,2.5,Female,Master,Own,Business,Divorced,4.323,0
52.7,139557.0,19.1,35741.0,248.3,574.2,2.9,4.6,Male,Master,Rent,Education,Divorced,5.458,0
50.4,139548.0,25.9,16083.4,208.4,606.1,3.4,0.9,Female,Bachelor,Own,Business,Divorced,4.105,1
40.4,97502.6,15.9,29108.4,241.4,734.6,2.5,3.5,Female,High School,Own,Home,Single,2.118,1
30.1,139149.3,13.3,21634.8,244.0,473.5,6.9,2.4,Female,High School,Mortgage,Business,Divorced,6.568,1
48.4,91697.9,25.8,27771.2,8.4,633.0,3.3,1.2,Male,High School,Own,Car,Divorced,4.033,1
41.1,98693.5,16.3,19322.3,214.6,568.4,5.7,5.0,Female,,Rent,Personal,Divorced,5.016,1
50.3,159443.0,24.3,11792.2,170.1,530.1,5.5,5.0,Male,PhD,Mortgage,Home,Divorced,5.793,1
47.8,,11.1,22743.9,143.0,671.5,4.5,2.3,Male,PhD,Own,Personal,Divorced,2.69,0
66.7,95276.9,9.2,31280.8,167.4,,3.8,3.0,Male,Master,Mortgage,Education,Married,7.359,0
44.6,94324.8,26.0,27804.0,58.5,362.0,4.3,1.9,Female,PhD,Rent,Business,Single,9.639,0
35.2,97404.1,22.0,28723.6,38.6,595.2,4.9,2.1,Female,High School,Rent,Home,Divorced,5.259,0
49.7,145642.4,27.4,27230.8,282.7,562.6,4.2,1.1,Female,PhD,Rent,Car,Divorced,5.841,0
50.1,85000.5,15.7,,220.0,453.2,1.6,1.0,Female,PhD,Own,Personal,Married,6.975,0
63.8,132484.9,13.6,29736.1,6.0,421.1,1.3,4.7,Female,Bachelor,Own,Business,Married,5.991,0
57.5,146139.6,30.9,23302.5,136.9,748.8,6.3,2.5,Male,High School,Mortgage,Business,Divorced,2.125,1
51.8,116911.4,7.8,26163.1,253.4,616.7,0.0,2.6,Female,Master,Rent,Home,Married,4.512,1
65.1,155352.2,30.0,39446.1,160.6,,4.3,1.5,Female,High School,Rent,Home,Married,4.302,1
33.2,109349.1,30.6,26636.2,282.6,772.6,3.6,2.7,Male,Master,Own,Car,Divorced,2.0,1
39.8,112515.1,26.9,25840.5,267.0,667.0,4.2,0.7,Female,Bachelor,Mortgage,Home,Divorced,3.42,1
36.4,85796.4,14.5,26323.1,74.5,734.2,2.3,1.6,Female,Master,Own,Education,Single,2.0,1
42.8,755024.3872113734,13.5,81789.45548997424,171.5,458.491074924912,4.5,1.1,Female,PhD,Mortgage,Education,Single,6.185,0
31.0,93171.8,18.3,22017.2,147.2,465.4,4.3,4.1,Female,High School,Own,Business,Single,6.966,0
55.1,132242.0,9.6,27169.4,71.9,630.5,8.0,0.5,Male,High School,Mortgage,Home,Single,2.743,0
44.8,117503.9,12.3,21454.3,66.7,612.3,4.2,1.1,Female,Master,Own,Car,Divorced,4.126,1
29.9,83152.6,25.2,24335.9,118.5,687.5,6.0,0.0,Female,,Own,Car,Divorced,3.498,1
35.3,,25.2,19175.9,131.7,428.2,1.8,1.4,Male,Bachelor,Mortgage,Education,Married,7.147,0
51.3,168400.5,11.6,26364.1,205.7,638.3,5.5,1.9,Female,High School,Own,Car,Divorced,4.147,1
57.6,127058.0,25.4,30173.6,266.5,,4.3,3.7,Male,Master,Mortgage,Personal,Married,3.308,1
70.0,84679.7,23.6,23804.7,224.1,659.3,4.4,2.2,Male,Master,Mortgage,Business,Divorced,3.301,1
70.0,130686.5,32.1,9433.0,243.0,538.4,4.4,2.0,Male,PhD,Own,Personal,Divorced,5.184,1
52.5,114886.0,24.6,30223.0,161.7,621.7,6.6,2.9,Female,PhD,Mortgage,Personal,Divorced,4.145,1
35.6,220000.0,28.5,26461.5,231.2,505.2,4.4,2.0,Male,Master,Own,Home,Divorced,5.408,1
25.0,129979.3,23.8,17554.1,171.1,,2.8,5.0,Male,High School,Rent,Business,Single,5.479,0
50.7,106678.1,27.8,31686.2,147.7,481.1,3.1,1.8,Female,Bachelor,Own,Education,Divorced,5.76,0
37.7,169701.0,9.7,14312.6,334.8,506.7,5.2,3.0,Female,Master,Own,Home,Married,5.341,0
42.5,55563.7,19.0,33863.3,6.0,553.3,4.7,3.5,Male,Bachelor,Own,Personal,Single,6.042,0
40.2,123301.2,19.7,,33.1,530.8,1.7,1.8,Male,,Own,Education,Divorced,5.357,1
45.8,189805.0,18.1,7349.1,213.6,506.7,4.8,2.7,Female,Master,Own,Business,Divorced,5.245,0
60.3,115933.0,23.6,26926.6,161.8,458.0,2.4,1.9,Male,PhD,Own,Personal,Single,5.899,0
49.4,59334.5,25.1,22250.5,68.0,751.5,4.7,2.8,Female,Master,Own,Business,Married,2.0,1
45.6,106142.9,23.1,21045.2,98.6,529.9,2.8,2.6,Male,PhD,Own,Business,Divorced,5.362,0
35.1,170908.1,18.6,19598.2,109.0,604.7,3.6,2.3,Female,High School,Rent,Car,Divorced,4.919,1
27.4,133162.4,14.1,24482.3,254.4,416.7,3.2,1.1,Female,PhD,Rent,Car,Married,7.977,0
41.7,90640.0,28.8,21618.5,280.0,697.2,6.3,4.7,Female,Master,Own,Car,Single,2.948,0
46.9,96016.5,22.8,10646.5,314.2,590.0,4.6,3.2,Male,Bachelor,Rent,Car,Married,5.262,1
68.7,100410.5,11.9,35676.5,55.9,535.1,5.9,0.6,Female,PhD,Own,Personal,Married,5.589,0
49.1,132641.9,18.5,23545.1,73.6,535.8,8.0,2.0,Male,High School,Own,Business,Divorced,5.571,0
59.3,166836.9,6.1,19644.5,68.1,,4.1,0.6,Male,High School,Rent,Education,Single,4.072,1
41.5,156834.8,20.3,16472.6,286.1,309.2,6.3,3.4,Male,Master,Own,Business,Single,8.602,0
33.3,135960.4,18.4,31665.9,216.4,500.8,3.0,2.5,Male,,Mortgage,Personal,Divorced,5.589,0
35.9,73392.4,15.4,15112.5,189.4,564.3,5.9,2.5,Female,High School,Mortgage,Car,Divorced,5.894,0
38.8,73522.4,32.7,26571.9,201.4,563.2,2.8,1.5,Female,PhD,Mortgage,Business,Married,5.412,0
70.0,138663.8,10.8,20830.8,178.5,800.5,4.0,2.1,Female,PhD,Mortgage,Education,Married,2.0,1
37.6,72908.5,25.7,21296.6,93.3,544.6,4.8,3.4,Male,PhD,Own,Home,Married,4.841,0
57.6,112105.2,37.5,16671.5,224.1,664.1,5.0,3.8,Female,Bachelor,Mortgage,Personal,Single,3.38,1
36.7,130645.3,28.6,20537.4,168.1,738.0,2.1,3.5,Male,PhD,Rent,Business,Single,2.0,1
58.7,80184.2,19.7,25570.5,87.0,635.4,2.7,0.6,Female,High School,Mortgage,Car,Married,4.27,1
52.1,84150.8,10.9,27382.5,228.9,514.4,4.9,2.3,Female,PhD,Mortgage,Car,Married,5.873,0
45.6,116705.8,9.1,19215.3,148.9,459.4,3.4,2.8,Female,PhD,Mortgage,Personal,Single,6.503,0
47.0,137627.8,16.7,24772.5,201.2,642.1,1.9,1.6,Female,Master,Mortgage,Business,Married,4.492,1
39.6,157153.2,14.5,32607.6,173.0,723.1,3.9,0.5,Female,Bachelor,Own,Car,Married,2.446,0
52.9,141246.9,14.2,12199.0,254.3,624.1,3.8,1.0,Male,Bachelor,Mortgage,Education,Divorced,4.337,1
42.0,122578.0,17.4,25449.8,200.6,686.0,4.3,4.3,Female,High School,Own,Personal,Married,2.354,1
32.8,383437.43649045634,19.2,127063.46411824941,112.3,712.0461493088412,4.8,1.1,Female,High School,Own,Business,Married,2.0,1
32.2,82518.3,23.9,17078.5,208.8,650.4,4.7,2.6,Male,Bachelor,Own,Home,Married,3.924,1
49.6,102119.3,10.1,27588.1,211.4,475.9,2.8,2.3,Male,High School,Mortgage,Home,Single,5.554,0
66.4,134347.7,14.5,21138.0,223.9,579.6,3.4,2.3,Female,Master,Own,Business,Married,4.278,1
49.4,131781.8,18.7,15765.6,265.9,,5.4,2.1,Male,Master,Mortgage,Education,Married,2.648,1
46.1,46503.4,18.4,36094.3,133.7,552.6,3.2,3.4,Female,PhD,Rent,Personal,Married,7.305,0
50.9,92501.3,34.7,32860.7,236.4,710.5,3.4,2.5,Male,Bachelor,Own,Home,Single,2.496,1
63.2,696858.5844225305,21.9,45149.96290132322,45.0,363.94403256364257,1.7,1.7,Female,PhD,Own,Home,Divorced,4.137,1
50.1,122772.5,7.1,13704.6,173.4,605.1,4.0,2.6,Male,Bachelor,Rent,Personal,Married,4.227,0
42.6,70404.7,23.3,30247.7,161.0,543.4,4.5,1.0,Female,Master,Rent,Car,Single,6.511,1
60.8,,24.4,23221.0,298.8,589.4,1.0,3.1,Male,PhD,Rent,Business,Married,5.226,1
52.6,118987.0,19.0,37504.6,170.5,594.1,2.4,1.7,Male,Bachelor,Own,Education,Divorced,3.581,0
65.9,133451.7,10.3,30430.7,231.6,430.2,1.9,1.8,Female,High School,Rent,Business,Single,7.48,1
49.7,133983.4,34.1,27895.7,42.1,535.3,5.2,3.1,Female,PhD,Mortgage,Education,Married,5.785,1
32.8,107134.2,11.4,,154.9,464.0,1.1,2.0,Male,,Own,Personal,Single,6.416,0
31.1,94534.9,25.3,29431.5,115.3,538.4,3.9,2.1,Female,High School,Own,Personal,Single,5.189,0
67.3,194258.6,21.6,15293.9,360.0,503.4,5.1,3.9,Male,Master,Own,Home,Married,5.464,1
68.2,155112.2,24.8,35942.0,129.7,666.1,4.3,1.3,Male,Master,Mortgage,Personal,Single,3.712,1
45.3,148767.8,33.7,,188.9,667.1,3.3,3.1,Male,High School,Mortgage,Business,Married,3.494,1
42.9,140170.1,24.5,18901.4,193.1,625.4,4.5,3.6,Female,PhD,Own,Car,Married,3.028,1
65.0,84883.9,15.5,31937.4,55.8,460.9,5.6,3.9,Male,Master,Rent,Car,Single,7.437,0
34.2,164713.6,28.8,43432.2,140.9,566.2,3.8,5.0,Male,Bachelor,Mortgage,Education,Divorced,5.001,1
36.8,90490.4,15.0,23759.1,215.4,453.8,0.6,1.7,Female,High School,Mortgage,Personal,Married,6.242,0
55.2,129915.0,21.3,29903.3,189.9,561.7,5.7,1.5,Male,Master,Own,Car,Single,4.779,1
42.8,62621.4,9.7,22045.4,6.0,633.3,4.6,3.5,Male,PhD,Mortgage,Car,Married,4.613,0
47.4,48569.9,11.7,26182.8,137.6,664.3,4.0,3.6,Male,Master,Mortgage,Business,Divorced,4.39,0
45.5,131140.2,20.4,13442.1,264.7,617.6,1.0,1.6,Female,Master,Mortgage,Business,Single,4.157,0
51.6,91681.5,22.9,25495.8,230.1,688.3,3.6,3.1,Female,PhD,Rent,Education,Divorced,3.027,1
64.4,50379.1,6.4,25848.6,280.4,598.4,2.7,5.0,Male,Master,Rent,Car,Single,5.305,0
48.6,138921.3,24.0,39892.0,104.1,554.0,2.2,2.6,Female,High School,Own,Car,Divorced,5.077,1
55.2,194202.8,13.4,11140.0,285.5,653.6,3.8,3.6,Male,High School,Rent,Car,Married,4.329,0
25.0,168634.6,30.2,23252.9,179.4,656.6,3.2,4.4,Female,Bachelor,Own,Education,Single,2.735,1
46.9,110993.9,17.2,35804.9,310.4,527.8,3.3,5.0,Female,Master,Own,Home,Divorced,5.807,1
37.4,120309.6,11.0,23565.8,183.3,609.1,5.1,2.8,Male,High School,Own,Personal,Single,4.104,0
32.9,151069.7,20.6,24129.3,19.2,548.5,4.4,4.0,Female,,Mortgage,Education,Single,4.413,1
37.0,159274.5,,18833.9,250.9,394.2,3.3,1.6,Female,Bachelor,Own,Home,Married,6.843,0
43.5,107976.2,30.2,18039.2,147.5,614.6,3.1,2.5,Female,Master,Rent,Car,Divorced,4.782,1
58.5,121196.2,20.0,10893.2,152.9,458.5,3.3,2.0,Male,High School,Rent,Car,Single,6.378,0
31.6,130521.5,18.8,20466.3,66.8,604.5,3.6,0.2,Male,High School,Own,Business,Married,3.846,1
47.9,,,17585.2,312.8,436.8,4.9,0.6,Female,PhD,Mortgage,Business,Married,7.09,0
41.7,115342.3,12.0,26444.3,141.3,510.2,2.4,3.0,Male,High School,Mortgage,Personal,Divorced,6.041,1
43.6,115797.0,9.7,19198.7,309.0,,6.2,3.0,Male,High School,Rent,Personal,Divorced,6.019,1
59.5,168294.1,23.3,21663.3,148.5,683.2,4.9,1.3,Female,High School,Own,Business,Divorced,3.471,1
54.0,162333.2,11.2,21882.4,108.8,,0.0,4.4,Female,Bachelor,Rent,Personal,Single,5.442,1
63.5,,11.2,25114.7,288.6,478.3,4.1,1.2,Female,High School,Rent,Car,Single,6.767,1
45.6,180168.8,26.7,21271.8,177.1,607.8,5.6,2.8,Female,PhD,Rent,Car,Divorced,4.843,1
39.1,382433.40876202896,24.2,93139.03019571945,177.9,365.267495069693,4.6,2.0,Male,High School,Own,Personal,Married,5.256,1
44.8,176804.1,10.0,26186.1,80.5,646.2,3.4,2.6,Male,High School,Own,Education,Single,3.797,0
50.4,,,,146.4,483.9,3.9,3.6,Female,High School,Rent,Education,Married,6.452,1
49.6,220000.0,12.8,26527.7,217.3,594.0,4.3,3.4,Male,Master,Rent,Business,Single,5.074,1
34.5,78263.1,34.2,20621.4,79.1,797.3,5.2,3.3,Male,PhD,Own,Business,Single,2.0,1
48.6,95872.9,27.2,24514.8,139.9,553.5,1.9,3.2,Male,High School,Mortgage,Personal,Married,5.132,1
50.2,134657.9,16.6,9094.9,149.4,,3.1,1.0,Female,,Own,Car,Divorced,4.47,1
70.0,133903.2,24.6,24384.8,188.3,425.5,6.5,3.9,Female,Bachelor,Mortgage,Education,Married,7.773,0
70.0,188254.9,9.2,22297.2,301.4,498.2,4.0,1.2,Male,Master,Rent,Car,Single,6.584,0
37.3,96606.9,14.6,18032.3,159.0,616.4,6.3,2.4,Female,Master,Own,Education,Single,4.165,0
44.1,151672.1,20.8,19483.2,127.8,,8.0,2.1,Male,Bachelor,Rent,Car,Divorced,5.76,0
29.9,160686.2,23.6,,360.0,630.3,3.3,2.9,Female,Master,Rent,Education,Divorced,4.458,0
40.4,144662.7,19.2,33439.7,148.3,613.2,2.2,1.9,Male,High School,Own,Education,Divorced,4.756,1
51.3,86365.1,22.0,34236.5,167.7,456.4,3.6,2.3,Female,Bachelor,Mortgage,Personal,Divorced,7.574,0
62.0,169271.6,20.6,18075.0,154.4,666.4,5.6,4.4,Female,PhD,Rent,Business,Married,3.889,1
38.8,163026.4,,21355.4,160.9,463.2,5.9,0.9,Female,PhD,Mortgage,Education,Married,6.158,0
39.7,140985.5,17.6,21559.3,189.2,506.2,7.4,2.5,Female,High School,Rent,Car,Married,6.078,0
25.0,127152.2,16.6,31976.4,256.7,595.7,3.9,1.2,Male,High School,Mortgage,Home,Married,4.423,0
45.5,127913.8,21.9,26664.1,215.3,716.0,4.7,3.3,Female,PhD,Own,Personal,Divorced,2.728,1
34.8,117244.2,23.3,26242.3,269.2,484.7,2.9,1.6,Male,High School,Mortgage,Business,Married,5.918,0
41.1,142427.5,21.6,29790.1,266.5,588.3,0.2,2.5,Female,Master,Rent,Car,Single,5.053,1
